movieId,title,genres,clean_title,countries,country_flag_urls,providers,provider_icon_urls
14,Cutthroat Island (1995),"['Action', 'Adventure', 'Romance']",cutthroatisland1995,"['United States', 'France']","['http://www.geognos.com/api/en/countries/flag/US.png', 'http://www.geognos.com/api/en/countries/flag/FR.png']",['Amazon Video'],['https://img.icons8.com/material-rounded/452/video-playlist.png']
15,Casino (1995),"['Crime', 'Drama']",casino1995,"['India', 'France', 'Brazil', 'China', 'United Kingdom', 'United States']","['http://www.geognos.com/api/en/countries/flag/IN.png', 'http://www.geognos.com/api/en/countries/flag/FR.png', 'http://www.geognos.com/api/en/countries/flag/BR.png', 'http://www.geognos.com/api/en/countries/flag/CN.png', 'http://www.geognos.com/api/en/countries/flag/GB.png', 'http://www.geognos.com/api/en/countries/flag/US.png']","['HBO Max', 'Youtube']","['https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png', 'https://img.icons8.com/ios/344/video-message.png']"
16,Sense and Sensibility (1995),"['Drama', 'Romance']",senseandsensibility1995,"['Brazil', 'United Kingdom', 'France']","['http://www.geognos.com/api/en/countries/flag/BR.png', 'http://www.geognos.com/api/en/countries/flag/GB.png', 'http://www.geognos.com/api/en/countries/flag/FR.png']",['Amazon Video'],['https://img.icons8.com/material-rounded/452/video-playlist.png']
17,Four Rooms (1995),['Comedy'],fourrooms1995,"['China', 'France', 'Brazil']","['http://www.geognos.com/api/en/countries/flag/CN.png', 'http://www.geognos.com/api/en/countries/flag/FR.png', 'http://www.geognos.com/api/en/countries/flag/BR.png']","['Amazon Video', 'Netflix']","['https://img.icons8.com/material-rounded/452/video-playlist.png', 'https://img.icons8.com/office/50/000000/no-video--v2.png']"
18,Ace Ventura: When Nature Calls (1995),['Comedy'],aceventurawhennaturecalls1995,"['Brazil', 'United Kingdom', 'France', 'United States']","['http://www.geognos.com/api/en/countries/flag/BR.png', 'http://www.geognos.com/api/en/countries/flag/GB.png', 'http://www.geognos.com/api/en/countries/flag/FR.png', 'http://www.geognos.com/api/en/countries/flag/US.png']",['HBO Max'],['https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png']
19,Money Train (1995),"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",moneytrain1995,"['Portugal', 'Brazil', 'United Kingdom', 'China']","['http://www.geognos.com/api/en/countries/flag/PT.png', 'http://www.geognos.com/api/en/countries/flag/BR.png', 'http://www.geognos.com/api/en/countries/flag/GB.png', 'http://www.geognos.com/api/en/countries/flag/CN.png']","['Youtube', 'Netflix']","['https://img.icons8.com/ios/344/video-message.png', 'https://img.icons8.com/office/50/000000/no-video--v2.png']"
20,Get Shorty (1995),"['Comedy', 'Crime', 'Thriller']",getshorty1995,"['United States', 'China', 'India']","['http://www.geognos.com/api/en/countries/flag/US.png', 'http://www.geognos.com/api/en/countries/flag/CN.png', 'http://www.geognos.com/api/en/countries/flag/IN.png']","['Youtube', 'HBO Max']","['https://img.icons8.com/ios/344/video-message.png', 'https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png']"
21,Copycat (1995),"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",copycat1995,"['Portugal', 'France', 'United States', 'China']","['http://www.geognos.com/api/en/countries/flag/PT.png', 'http://www.geognos.com/api/en/countries/flag/FR.png', 'http://www.geognos.com/api/en/countries/flag/US.png', 'http://www.geognos.com/api/en/countries/flag/CN.png']",['Amazon Video'],['https://img.icons8.com/material-rounded/452/video-playlist.png']
22,Assassins (1995),"['Action', 'Crime', 'Thriller']",assassins1995,"['China', 'United Kingdom', 'India']","['http://www.geognos.com/api/en/countries/flag/CN.png', 'http://www.geognos.com/api/en/countries/flag/GB.png', 'http://www.geognos.com/api/en/countries/flag/IN.png']","['Youtube', 'Amazon Video']","['https://img.icons8.com/ios/344/video-message.png', 'https://img.icons8.com/material-rounded/452/video-playlist.png']"
23,Powder (1995),"['Drama', 'SciFi']",powder1995,"['France', 'India', 'Brazil', 'United States', 'Portugal', 'United Kingdom']","['http://www.geognos.com/api/en/countries/flag/FR.png', 'http://www.geognos.com/api/en/countries/flag/IN.png', 'http://www.geognos.com/api/en/countries/flag/BR.png', 'http://www.geognos.com/api/en/countries/flag/US.png', 'http://www.geognos.com/api/en/countries/flag/PT.png', 'http://www.geognos.com/api/en/countries/flag/GB.png']",['Netflix'],['https://img.icons8.com/office/50/000000/no-video--v2.png']
24,Leaving Las Vegas (1995),"['Drama', 'Romance']",leavinglasvegas1995,"['United States', 'China', 'Brazil', 'France']","['http://www.geognos.com/api/en/countries/flag/US.png', 'http://www.geognos.com/api/en/countries/flag/CN.png', 'http://www.geognos.com/api/en/countries/flag/BR.png', 'http://www.geognos.com/api/en/countries/flag/FR.png']",['HBO Max'],['https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png']
25,Othello (1995),['Drama'],othello1995,"['India', 'Brazil']","['http://www.geognos.com/api/en/countries/flag/IN.png', 'http://www.geognos.com/api/en/countries/flag/BR.png']",['Amazon Video'],['https://img.icons8.com/material-rounded/452/video-playlist.png']
26,Now and Then (1995),"['Children', 'Drama']",nowandthen1995,"['China', 'Portugal', 'France', 'United Kingdom']","['http://www.geognos.com/api/en/countries/flag/CN.png', 'http://www.geognos.com/api/en/countries/flag/PT.png', 'http://www.geognos.com/api/en/countries/flag/FR.png', 'http://www.geognos.com/api/en/countries/flag/GB.png']","['HBO Max', 'Amazon Video']","['https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png', 'https://img.icons8.com/material-rounded/452/video-playlist.png']"
27,Persuasion (1995),"['Drama', 'Romance']",persuasion1995,['United Kingdom'],['http://www.geognos.com/api/en/countries/flag/GB.png'],['HBO Max'],['https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png']
28,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","['Adventure', 'Drama', 'Fantasy', 'Mystery', 'SciFi']",cityoflostchildrenthecitédesenfantsperdusla1995,"['India', 'China']","['http://www.geognos.com/api/en/countries/flag/IN.png', 'http://www.geognos.com/api/en/countries/flag/CN.png']","['Netflix', 'Youtube']","['https://img.icons8.com/office/50/000000/no-video--v2.png', 'https://img.icons8.com/ios/344/video-message.png']"
29,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),"['Crime', 'Drama']",shanghaitriadyaoayaoyaodaowaipoqiao1995,"['Brazil', 'France', 'China', 'Portugal']","['http://www.geognos.com/api/en/countries/flag/BR.png', 'http://www.geognos.com/api/en/countries/flag/FR.png', 'http://www.geognos.com/api/en/countries/flag/CN.png', 'http://www.geognos.com/api/en/countries/flag/PT.png']","['Amazon Video', 'Youtube', 'HBO Max']","['https://img.icons8.com/material-rounded/452/video-playlist.png', 'https://img.icons8.com/ios/344/video-message.png', 'https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png']"
30,Dangerous Minds (1995),['Drama'],dangerousminds1995,"['India', 'United Kingdom']","['http://www.geognos.com/api/en/countries/flag/IN.png', 'http://www.geognos.com/api/en/countries/flag/GB.png']",['Youtube'],['https://img.icons8.com/ios/344/video-message.png']
31,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"['Mystery', 'SciFi', 'Thriller']",twelvemonkeysaka12monkeys1995,['China'],['http://www.geognos.com/api/en/countries/flag/CN.png'],"['Amazon Video', 'Youtube']","['https://img.icons8.com/material-rounded/452/video-playlist.png', 'https://img.icons8.com/ios/344/video-message.png']"
32,Babe (1995),"['Children', 'Drama']",babe1995,"['India', 'United States', 'United Kingdom', 'Brazil', 'Portugal']","['http://www.geognos.com/api/en/countries/flag/IN.png', 'http://www.geognos.com/api/en/countries/flag/US.png', 'http://www.geognos.com/api/en/countries/flag/GB.png', 'http://www.geognos.com/api/en/countries/flag/BR.png', 'http://www.geognos.com/api/en/countries/flag/PT.png']",['Youtube'],['https://img.icons8.com/ios/344/video-message.png']
33,Dead Man Walking (1995),"['Crime', 'Drama']",deadmanwalking1995,"['France', 'United Kingdom']","['http://www.geognos.com/api/en/countries/flag/FR.png', 'http://www.geognos.com/api/en/countries/flag/GB.png']",['HBO Max'],['https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png']
34,It Takes Two (1995),"['Children', 'Comedy']",ittakestwo1995,"['Brazil', 'China']","['http://www.geognos.com/api/en/countries/flag/BR.png', 'http://www.geognos.com/api/en/countries/flag/CN.png']",['HBO Max'],['https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png']
35,Clueless (1995),"['Comedy', 'Romance']",clueless1995,"['China', 'United Kingdom']","['http://www.geognos.com/api/en/countries/flag/CN.png', 'http://www.geognos.com/api/en/countries/flag/GB.png']",['Amazon Video'],['https://img.icons8.com/material-rounded/452/video-playlist.png']
36,"Cry, the Beloved Country (1995)",['Drama'],crythebelovedcountry1995,"['India', 'Portugal', 'China', 'United Kingdom']","['http://www.geognos.com/api/en/countries/flag/IN.png', 'http://www.geognos.com/api/en/countries/flag/PT.png', 'http://www.geognos.com/api/en/countries/flag/CN.png', 'http://www.geognos.com/api/en/countries/flag/GB.png']","['Youtube', 'HBO Max']","['https://img.icons8.com/ios/344/video-message.png', 'https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png']"
37,Richard III (1995),"['Drama', 'War']",richardiii1995,"['France', 'China', 'United States', 'Brazil']","['http://www.geognos.com/api/en/countries/flag/FR.png', 'http://www.geognos.com/api/en/countries/flag/CN.png', 'http://www.geognos.com/api/en/countries/flag/US.png', 'http://www.geognos.com/api/en/countries/flag/BR.png']","['HBO Max', 'Amazon Video']","['https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png', 'https://img.icons8.com/material-rounded/452/video-playlist.png']"
38,Dead Presidents (1995),"['Action', 'Crime', 'Drama']",deadpresidents1995,"['China', 'India']","['http://www.geognos.com/api/en/countries/flag/CN.png', 'http://www.geognos.com/api/en/countries/flag/IN.png']","['Youtube', 'HBO Max']","['https://img.icons8.com/ios/344/video-message.png', 'https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png']"
39,Restoration (1995),['Drama'],restoration1995,"['United States', 'United Kingdom']","['http://www.geognos.com/api/en/countries/flag/US.png', 'http://www.geognos.com/api/en/countries/flag/GB.png']","['Netflix', 'Youtube']","['https://img.icons8.com/office/50/000000/no-video--v2.png', 'https://img.icons8.com/ios/344/video-message.png']"
40,Mortal Kombat (1995),"['Action', 'Adventure', 'Fantasy']",mortalkombat1995,"['United Kingdom', 'France', 'Brazil', 'China', 'Portugal']","['http://www.geognos.com/api/en/countries/flag/GB.png', 'http://www.geognos.com/api/en/countries/flag/FR.png', 'http://www.geognos.com/api/en/countries/flag/BR.png', 'http://www.geognos.com/api/en/countries/flag/CN.png', 'http://www.geognos.com/api/en/countries/flag/PT.png']","['Youtube', 'Amazon Video']","['https://img.icons8.com/ios/344/video-message.png', 'https://img.icons8.com/material-rounded/452/video-playlist.png']"
41,To Die For (1995),"['Comedy', 'Drama', 'Thriller']",todiefor1995,"['United States', 'China', 'Portugal', 'United Kingdom', 'India']","['http://www.geognos.com/api/en/countries/flag/US.png', 'http://www.geognos.com/api/en/countries/flag/CN.png', 'http://www.geognos.com/api/en/countries/flag/PT.png', 'http://www.geognos.com/api/en/countries/flag/GB.png', 'http://www.geognos.com/api/en/countries/flag/IN.png']",['Amazon Video'],['https://img.icons8.com/material-rounded/452/video-playlist.png']
42,How to Make an American Quilt (1995),"['Drama', 'Romance']",howtomakeanamericanquilt1995,"['United Kingdom', 'France', 'India', 'United States']","['http://www.geognos.com/api/en/countries/flag/GB.png', 'http://www.geognos.com/api/en/countries/flag/FR.png', 'http://www.geognos.com/api/en/countries/flag/IN.png', 'http://www.geognos.com/api/en/countries/flag/US.png']",['HBO Max'],['https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png']
43,Seven (a.k.a. Se7en) (1995),"['Mystery', 'Thriller']",sevenakase7en1995,"['Brazil', 'France']","['http://www.geognos.com/api/en/countries/flag/BR.png', 'http://www.geognos.com/api/en/countries/flag/FR.png']",['HBO Max'],['https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png']
44,Pocahontas (1995),"['Animation', 'Children', 'Drama', 'Musical', 'Romance']",pocahontas1995,"['France', 'India']","['http://www.geognos.com/api/en/countries/flag/FR.png', 'http://www.geognos.com/api/en/countries/flag/IN.png']",['HBO Max'],['https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png']
45,When Night Is Falling (1995),"['Drama', 'Romance']",whennightisfalling1995,"['China', 'Brazil', 'United States']","['http://www.geognos.com/api/en/countries/flag/CN.png', 'http://www.geognos.com/api/en/countries/flag/BR.png', 'http://www.geognos.com/api/en/countries/flag/US.png']","['Netflix', 'Youtube', 'HBO Max']","['https://img.icons8.com/office/50/000000/no-video--v2.png', 'https://img.icons8.com/ios/344/video-message.png', 'https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png']"
46,"Usual Suspects, The (1995)","['Crime', 'Mystery', 'Thriller']",usualsuspectsthe1995,"['France', 'Brazil', 'China']","['http://www.geognos.com/api/en/countries/flag/FR.png', 'http://www.geognos.com/api/en/countries/flag/BR.png', 'http://www.geognos.com/api/en/countries/flag/CN.png']","['HBO Max', 'Amazon Video']","['https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png', 'https://img.icons8.com/material-rounded/452/video-playlist.png']"
47,Mighty Aphrodite (1995),"['Comedy', 'Drama', 'Romance']",mightyaphrodite1995,['China'],['http://www.geognos.com/api/en/countries/flag/CN.png'],['HBO Max'],['https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png']
48,Lamerica (1994),"['Adventure', 'Drama']",lamerica1994,"['India', 'China']","['http://www.geognos.com/api/en/countries/flag/IN.png', 'http://www.geognos.com/api/en/countries/flag/CN.png']","['Netflix', 'Amazon Video']","['https://img.icons8.com/office/50/000000/no-video--v2.png', 'https://img.icons8.com/material-rounded/452/video-playlist.png']"
49,"Big Green, The (1995)","['Children', 'Comedy']",biggreenthe1995,"['France', 'India']","['http://www.geognos.com/api/en/countries/flag/FR.png', 'http://www.geognos.com/api/en/countries/flag/IN.png']",['Netflix'],['https://img.icons8.com/office/50/000000/no-video--v2.png']
50,Georgia (1995),['Drama'],georgia1995,"['India', 'United Kingdom', 'United States']","['http://www.geognos.com/api/en/countries/flag/IN.png', 'http://www.geognos.com/api/en/countries/flag/GB.png', 'http://www.geognos.com/api/en/countries/flag/US.png']","['Youtube', 'Netflix']","['https://img.icons8.com/ios/344/video-message.png', 'https://img.icons8.com/office/50/000000/no-video--v2.png']"
51,Home for the Holidays (1995),['Drama'],homefortheholidays1995,['United Kingdom'],['http://www.geognos.com/api/en/countries/flag/GB.png'],['Amazon Video'],['https://img.icons8.com/material-rounded/452/video-playlist.png']
52,"Postman, The (Postino, Il) (1994)","['Comedy', 'Drama', 'Romance']",postmanthepostinoil1994,"['United States', 'China']","['http://www.geognos.com/api/en/countries/flag/US.png', 'http://www.geognos.com/api/en/countries/flag/CN.png']",['HBO Max'],['https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png']
53,"Indian in the Cupboard, The (1995)","['Adventure', 'Children', 'Fantasy']",indianinthecupboardthe1995,"['Brazil', 'France', 'Portugal', 'India', 'China']","['http://www.geognos.com/api/en/countries/flag/BR.png', 'http://www.geognos.com/api/en/countries/flag/FR.png', 'http://www.geognos.com/api/en/countries/flag/PT.png', 'http://www.geognos.com/api/en/countries/flag/IN.png', 'http://www.geognos.com/api/en/countries/flag/CN.png']","['HBO Max', 'Amazon Video']","['https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png', 'https://img.icons8.com/material-rounded/452/video-playlist.png']"
54,Eye for an Eye (1996),"['Drama', 'Thriller']",eyeforaneye1996,"['France', 'Brazil', 'Portugal']","['http://www.geognos.com/api/en/countries/flag/FR.png', 'http://www.geognos.com/api/en/countries/flag/BR.png', 'http://www.geognos.com/api/en/countries/flag/PT.png']","['Youtube', 'HBO Max']","['https://img.icons8.com/ios/344/video-message.png', 'https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png']"
55,Mr. Holland's Opus (1995),['Drama'],mrhollandsopus1995,"['China', 'United States', 'France', 'United Kingdom', 'Portugal']","['http://www.geognos.com/api/en/countries/flag/CN.png', 'http://www.geognos.com/api/en/countries/flag/US.png', 'http://www.geognos.com/api/en/countries/flag/FR.png', 'http://www.geognos.com/api/en/countries/flag/GB.png', 'http://www.geognos.com/api/en/countries/flag/PT.png']","['Netflix', 'Amazon Video']","['https://img.icons8.com/office/50/000000/no-video--v2.png', 'https://img.icons8.com/material-rounded/452/video-playlist.png']"
56,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),"['Comedy', 'Crime']",dontbeamenacetosouthcentralwhiledrinkingyourjuiceinthehood1996,"['Brazil', 'Portugal', 'China']","['http://www.geognos.com/api/en/countries/flag/BR.png', 'http://www.geognos.com/api/en/countries/flag/PT.png', 'http://www.geognos.com/api/en/countries/flag/CN.png']","['HBO Max', 'Netflix']","['https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png', 'https://img.icons8.com/office/50/000000/no-video--v2.png']"
57,Two if by Sea (1996),"['Comedy', 'Romance']",twoifbysea1996,"['Portugal', 'China']","['http://www.geognos.com/api/en/countries/flag/PT.png', 'http://www.geognos.com/api/en/countries/flag/CN.png']","['Netflix', 'Amazon Video']","['https://img.icons8.com/office/50/000000/no-video--v2.png', 'https://img.icons8.com/material-rounded/452/video-playlist.png']"
58,Bio-Dome (1996),['Comedy'],biodome1996,"['France', 'United Kingdom', 'Brazil']","['http://www.geognos.com/api/en/countries/flag/FR.png', 'http://www.geognos.com/api/en/countries/flag/GB.png', 'http://www.geognos.com/api/en/countries/flag/BR.png']","['Netflix', 'Youtube']","['https://img.icons8.com/office/50/000000/no-video--v2.png', 'https://img.icons8.com/ios/344/video-message.png']"
59,Lawnmower Man 2: Beyond Cyberspace (1996),"['Action', 'SciFi', 'Thriller']",lawnmowerman2beyondcyberspace1996,"['India', 'Brazil', 'France']","['http://www.geognos.com/api/en/countries/flag/IN.png', 'http://www.geognos.com/api/en/countries/flag/BR.png', 'http://www.geognos.com/api/en/countries/flag/FR.png']","['Netflix', 'Amazon Video']","['https://img.icons8.com/office/50/000000/no-video--v2.png', 'https://img.icons8.com/material-rounded/452/video-playlist.png']"
60,French Twist (Gazon maudit) (1995),"['Comedy', 'Romance']",frenchtwistgazonmaudit1995,['United Kingdom'],['http://www.geognos.com/api/en/countries/flag/GB.png'],['HBO Max'],['https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png']
61,Friday (1995),['Comedy'],friday1995,"['United States', 'France', 'United Kingdom']","['http://www.geognos.com/api/en/countries/flag/US.png', 'http://www.geognos.com/api/en/countries/flag/FR.png', 'http://www.geognos.com/api/en/countries/flag/GB.png']","['Youtube', 'Netflix']","['https://img.icons8.com/ios/344/video-message.png', 'https://img.icons8.com/office/50/000000/no-video--v2.png']"
62,From Dusk Till Dawn (1996),"['Action', 'Comedy', 'Horror', 'Thriller']",fromdusktilldawn1996,"['Brazil', 'Portugal']","['http://www.geognos.com/api/en/countries/flag/BR.png', 'http://www.geognos.com/api/en/countries/flag/PT.png']",['Amazon Video'],['https://img.icons8.com/material-rounded/452/video-playlist.png']
63,Fair Game (1995),['Action'],fairgame1995,"['China', 'Portugal', 'Brazil']","['http://www.geognos.com/api/en/countries/flag/CN.png', 'http://www.geognos.com/api/en/countries/flag/PT.png', 'http://www.geognos.com/api/en/countries/flag/BR.png']",['Netflix'],['https://img.icons8.com/office/50/000000/no-video--v2.png']
64,Kicking and Screaming (1995),"['Comedy', 'Drama']",kickingandscreaming1995,"['United States', 'Portugal']","['http://www.geognos.com/api/en/countries/flag/US.png', 'http://www.geognos.com/api/en/countries/flag/PT.png']","['Youtube', 'Netflix']","['https://img.icons8.com/ios/344/video-message.png', 'https://img.icons8.com/office/50/000000/no-video--v2.png']"
65,"Misérables, Les (1995)","['Drama', 'War']",misérablesles1995,"['China', 'India']","['http://www.geognos.com/api/en/countries/flag/CN.png', 'http://www.geognos.com/api/en/countries/flag/IN.png']",['Netflix'],['https://img.icons8.com/office/50/000000/no-video--v2.png']
66,Bed of Roses (1996),"['Drama', 'Romance']",bedofroses1996,"['United States', 'Portugal']","['http://www.geognos.com/api/en/countries/flag/US.png', 'http://www.geognos.com/api/en/countries/flag/PT.png']",['Youtube'],['https://img.icons8.com/ios/344/video-message.png']
67,Big Bully (1996),"['Comedy', 'Drama']",bigbully1996,"['Portugal', 'France', 'United Kingdom', 'Brazil']","['http://www.geognos.com/api/en/countries/flag/PT.png', 'http://www.geognos.com/api/en/countries/flag/FR.png', 'http://www.geognos.com/api/en/countries/flag/GB.png', 'http://www.geognos.com/api/en/countries/flag/BR.png']",['Youtube'],['https://img.icons8.com/ios/344/video-message.png']
68,Screamers (1995),"['Action', 'SciFi', 'Thriller']",screamers1995,"['Brazil', 'Portugal', 'United Kingdom', 'India']","['http://www.geognos.com/api/en/countries/flag/BR.png', 'http://www.geognos.com/api/en/countries/flag/PT.png', 'http://www.geognos.com/api/en/countries/flag/GB.png', 'http://www.geognos.com/api/en/countries/flag/IN.png']","['Netflix', 'Amazon Video', 'HBO Max']","['https://img.icons8.com/office/50/000000/no-video--v2.png', 'https://img.icons8.com/material-rounded/452/video-playlist.png', 'https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png']"
69,Nico Icon (1995),['Documentary'],nicoicon1995,['Portugal'],['http://www.geognos.com/api/en/countries/flag/PT.png'],['Amazon Video'],['https://img.icons8.com/material-rounded/452/video-playlist.png']
70,"Crossing Guard, The (1995)","['Action', 'Crime', 'Drama', 'Thriller']",crossingguardthe1995,"['India', 'Brazil', 'France', 'China']","['http://www.geognos.com/api/en/countries/flag/IN.png', 'http://www.geognos.com/api/en/countries/flag/BR.png', 'http://www.geognos.com/api/en/countries/flag/FR.png', 'http://www.geognos.com/api/en/countries/flag/CN.png']",['Youtube'],['https://img.icons8.com/ios/344/video-message.png']
71,"Juror, The (1996)","['Drama', 'Thriller']",jurorthe1996,"['United Kingdom', 'United States']","['http://www.geognos.com/api/en/countries/flag/GB.png', 'http://www.geognos.com/api/en/countries/flag/US.png']",['HBO Max'],['https://img.icons8.com/material-outlined/50/000000/laptop-play-video.png']
